OBJECTID,LOCID,CITY_NAME,FULLNAME,FAC_CYSTZP,LATITUDE,LONGITUDE
1,ND07,ABSARAKA,PUNTON PRIVATE,"AYR, ND 58007-9720",47.00277778,-97.40722222
2,NA92,ALAMO,ROY LOHSE,"ALAMO, ND 58830",48.57863917,-103.4663006
3,ND26,ALEXANDER,GAJEWSKI FLD,"ALEXANDER, ND 58831",47.90002139,-103.6588094
4,7ND7,ALEXANDER,HAUGEN'S,"ALEXANDER, ND 58831",47.6825175,-103.7282544
5,26ND,ALEXANDER,CHITWOOD AIRSTRIP,"ALEXANDER, ND 58831",47.70973917,-103.6435311
6,ND01,AMENIA,NELSON,"AMENIA, ND 58004",47.04580806,-97.18647583
7,ND73,AMENIA,PETERSON,"AMENIA, ND 58004",47.04830917,-97.25564333
8,ND74,AMENIA,SMITH PVT,"FARGO, ND 58103",47.01664056,-97.16286444
9,ND75,ANAMOOSE,PETE'S TRACTOR SALVAGE,"ANAMOOSE, ND 58710",47.71999778,-100.26902
10,ND02,ANETA,RICKETYBACK FIELD,"ANETA, ND 58212",47.81110389,-97.96009528
11,4NA3,ANTLER,PETERSON AIRSTRIP,"ANTLER, ND 58711",48.85724278,-101.3021036
12,6ND3,ARGUSVILLE,LISBURG,"ARGUSVILLE, ND 58005",47.06969333,-96.94063861
13,1ND4,ARGUSVILLE,WALKINSHAW,"ARGUSVILLE, ND 58005",47.05830611,-97.01702944
14,ND76,ARTHUR,TURNER FIELD,"ARTHUR, ND 58006",47.05969694,-97.15675333
15,1A2,ARTHUR,ARTHUR,"ARTHUR, ND 58006",47.11108778,-97.20730944
30,BIS,BISMARCK,BISMARCK MUNI,"BISMARCK, ND 58502",46.77273306,-100.7457381
31,ND11,BISMARCK,R J BOHN ARMORY,"BISMARCK, ND 58502-5511",46.83110417,-100.7204039
32,ND30,BISMARCK,MEDCENTER ONE HOSPITAL MED-I-PORT,"BISMARCK, ND 58501",46.80804889,-100.7831836
33,ND46,BISMARCK,ST ALEXIUS MED-I-PORT,"BISMARCK, ND 58501",46.80749333,-100.7767944
34,ND96,BISMARK,SAUTER,"BISMARCK, ND 58501",46.80165833,-100.6792889
35,D09,BOTTINEAU,BOTTINEAU MUNI,"BOTTINEAU, ND 58318",48.83039167,-100.4171361
36,5B4,BOWBELLS,BOWBELLS MUNI,"BOWBELLS, ND 58721",48.80974944,-102.245445
37,7ND5,BOWDON,BUCHMILLER,"BOWDON, ND 58418",47.35971889,-99.62261611
38,BPP,BOWMAN,BOWMAN MUNI,"BOWMAN, ND 58623",46.18699111,-103.4280806
39,78ND,BOWMAN,FOLSKE RANCH,"BOWMAN, ND 58623",46.29500778,-103.4324072
40,1NA8,BRADDOCK,PRESZLER AIRSTRIP,"BRADDOCK, ND 58524",46.69054167,-100.0953858
41,NA75,BREMEN,LILL STRIP,"CATHAY, ND 58422",47.67638972,-99.39039972
42,ND59,BUFFALO,GRIEVE, ,46.98747667,-97.52953639
43,5ND0,BUFORD,STIEHL,"BUFORD, ND 58803",48.07641,-104.0324331
44,NA30,BURLINGTON,BEHRENS AIRSTRIP,"MINOT, ND 58701",48.27223222,-101.3962742
45,12ND,BURLINGTON,PIETSCHTREE AIRSTRIP,"BURLINGTON, ND 58722",48.29527778,-101.4270833
46,NA81,BUXTON,CENTRAL VALLEY AVIATION,"BUXTON, ND 58218",47.62831222,-97.08647389
47,9D7,CANDO,CANDO MUNI,"CANDO, ND 58324",48.47997222,-99.23591944
48,ND28,CANDO,TOWNER COUNTY MEDICAL CENTER,"CANDO, ND 58324",48.49308333,-99.21152778
49,46D,CARRINGTON,CARRINGTON MUNI,"CARRINGTON, ND 58421",47.45111111,-99.15111111
50,79ND,CARRINGTON,REIMERS,"CARRINGTON, ND 58421",47.32333,-99.00122222
51,5N8,CASSELTON,CASSELTON ROBERT MILLER RGNL,"CASSELTON, ND 58012",46.85402917,-97.20865972
52,2C8,CAVALIER,CAVALIER MUNI,"CAVALIER, ND 58220",48.78383889,-97.63193056
53,9ND8,CAVALIER,HINKLE,"CAVALIER, ND 58220",48.78554861,-97.67231167
